Frame,Right Wrist X,Right Wrist Y,Right Wrist Z
0,0.4796363115310669,0.47480764985084534,-0.031328003853559494
1,0.47965601086616516,0.47463658452033997,-0.14835000038146973
2,0.48008817434310913,0.47365349531173706,-0.12688229978084564
3,0.4800550043582916,0.47147873044013977,-0.1484449952840805
4,0.48055729269981384,0.4690256714820862,-0.08559760451316833
5,0.48056963086128235,0.46618810296058655,0.05539907142519951
6,0.48642048239707947,0.46466416120529175,0.3538544178009033
7,0.4890134334564209,0.4617714285850525,0.31744053959846497
8,0.48852619528770447,0.45424240827560425,0.3829965889453888
9,0.49761244654655457,0.45277994871139526,0.504177451133728
10,0.5149134397506714,0.45115235447883606,0.7601346373558044
11,0.5139674544334412,0.4468427002429962,0.8060307502746582
12,0.5177052617073059,0.44391199946403503,0.7501696348190308
13,0.5187469124794006,0.4299359917640686,0.7236114144325256
14,0.5578216314315796,0.48848339915275574,0.7275735139846802
15,0.582149088382721,0.5192453265190125,0.6845053434371948
16,0.5646100044250488,0.5237057209014893,0.6240870356559753
17,0.5579478740692139,0.5187265872955322,0.531367838382721
18,0.5629209280014038,0.5239042043685913,0.4955534338951111
19,0.5628615617752075,0.5288617014884949,0.4206112027168274
20,0.5957879424095154,0.5364255309104919,0.4333205223083496
21,0.5967879295349121,0.5297839641571045,0.39645135402679443
22,0.6046071648597717,0.5257283449172974,0.44238004088401794
23,0.6060965657234192,0.526354968547821,0.44298145174980164
24,0.6048904061317444,0.5272089838981628,0.4474903345108032
25,0.6119664311408997,0.5262171626091003,0.5373715758323669
26,0.6197896599769592,0.5237597227096558,0.5429810285568237
27,0.6328625679016113,0.5231727957725525,0.557533323764801
28,0.633983850479126,0.524869441986084,0.622726321220398
29,0.6339855194091797,0.5264461636543274,0.6314277648925781
30,0.6396206617355347,0.5264667272567749,0.6357472538948059
31,0.636572003364563,0.527370274066925,0.6079086661338806
32,0.6350831985473633,0.527575671672821,0.6110092401504517
33,0.6339196562767029,0.5273923277854919,0.6341153979301453
34,0.6334705948829651,0.5266764760017395,0.6591969132423401
35,0.6318972110748291,0.518204391002655,0.7218316197395325
36,0.6301497220993042,0.5093585252761841,0.7160830497741699
37,0.628543496131897,0.5104755759239197,0.7618765234947205
38,0.6269780397415161,0.49731603264808655,0.7312198877334595
39,0.6264256238937378,0.49222561717033386,0.7449820637702942
40,0.622055172920227,0.4854082465171814,0.8072313666343689
41,0.610738217830658,0.5184858441352844,0.8237029314041138
42,0.6052290797233582,0.522394061088562,0.9127122163772583
43,0.5991644263267517,0.5364328026771545,0.9490100145339966
44,0.5979735851287842,0.5681239366531372,0.7055758833885193
45,0.5991156697273254,0.5644443035125732,0.7823832035064697
46,0.5995848178863525,0.5580587983131409,0.8518884181976318
47,0.5799384117126465,0.5058669447898865,1.0207977294921875
48,0.5731472373008728,0.45829689502716064,0.9329493641853333
